Id,SalePrice
1461,124300.41734733805
1462,155933.5786782586
1463,177713.23241894608
1464,181475.25032492445
1465,192761.0879324443
1466,177921.04794718832
1467,170980.92695870556
1468,160593.7334953358
1469,182083.00802282814
1470,123888.20198626052
1471,205426.38785341335
1472,91885.2354436135
1473,96463.171426396
1474,154266.7958528114
1475,139067.6572256474
1476,417892.2095165297
1477,247916.8784777248
1478,310747.1388845585
1479,271377.33683718636
1480,478604.96229610144
1481,319332.58255844476
1482,213949.4014517644
1483,170362.5077945244
1484,169674.72927379247
1485,181865.71666357544
1486,195751.37677722742
1487,349198.2844519678
1488,246384.75985589705
1489,191686.90060252202
1490,227719.82842192214
1491,191424.84105374894
1492,85553.21705106806
1493,191402.55981358167
1494,304219.90020763275
1495,299153.3808449441
1496,224734.0456675447
1497,166273.334496303
1498,161367.7551784231
1499,164648.53677314267
1500,146620.70643466845
1501,163195.89599643782
1502,155769.7302574565
1503,292316.59531259816
1504,227182.28969893002
1505,214010.41422161617
1506,188131.67504607164
1507,236704.73877851668
1508,189555.9428609785
1509,157044.24177796912
1510,144510.4091959056
1511,141584.2103443402
1512,170632.09479829567
1513,144579.7074137669
1514,178808.48892998998
1515,209219.74854073985
1516,168113.64451838192
1517,154563.6835972564
1518,137550.1020464601
1519,228059.92320008087
1520,134147.64927391423
1521,133639.0043871879
1522,170550.43464082078
1523,108022.91165777709
1524,123129.4402365727
1525,122377.83638883887
1526,127975.03435622601
1527,106232.60149841469
1528,142373.22734496274
1529,144133.15862222674
1530,175636.36956053556
1531,100315.48262096258
1532,107390.64027138999
1533,151437.19478491033
1534,123721.88561587127
1535,160538.17231991026
1536,115702.13705619102
1537,85425.97816226367
1538,185836.58007696975
1539,212125.29121327205
1540,83819.05797313293
1541,148343.65933539002
1542,136164.04678032736
1543,228981.39490910538
1544,90582.9422917224
1545,110643.65002870614
1546,129543.62950072081
1547,136878.45909986165
1548,134771.03062860804
1549,109730.52982550877
1550,143285.9021640671
1551,128424.0833605908
